                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2253,                 3.9337,                 1.5979,                0.37388,                0.29741,                0.19395,                0.11092,                 1.0646,                 2.9691,                 1.5549,              0.0033298,              0.0033298,              0.0033298
                      2,                 1.2958,                 3.1663,                 1.6355,                0.35884,                0.38008,                0.27362,                0.15274,                 1.1008,                 3.7111,                 1.6059,              0.0066081,              0.0066081,              0.0066081
                      3,                 1.3963,                  3.004,                 1.7015,                0.34127,                0.34668,                0.25982,                0.13095,                  1.395,                 3.3918,                 1.8643,              0.0098315,              0.0098315,              0.0098315
                      4,                 1.4743,                 2.8166,                 1.7503,                  0.459,                0.40622,                0.33947,                0.16949,                 1.3666,                 3.8542,                 1.8605,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4442,                 2.5221,                 1.7074,                0.43373,                0.36659,                0.31388,                0.16604,                 1.3024,                 6.6839,                 1.8011,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.4033,                 2.3046,                 1.6676,                0.55777,                0.52731,                0.52044,                0.28301,                 1.2189,                 2.3545,                 1.6626,                0.00967,                0.00967,                0.00967
                      7,                 1.3807,                 2.1658,                 1.6499,                0.60432,                0.50183,                0.52739,                0.31501,                 1.1361,                 2.5366,                 1.5989,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.3387,                 2.0255,                 1.6214,                0.65375,                0.53925,                0.60534,                 0.3615,                 1.1465,                 1.7049,                 1.6178,               0.009505,               0.009505,               0.009505
                      9,                 1.3265,                 1.9412,                 1.6015,                0.62491,                0.56262,                0.58959,                 0.3481,                 1.1143,                  3.182,                 1.5431,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2875,                 1.8628,                 1.5725,                0.69347,                0.52685,                0.60001,                 0.3649,                 1.1369,                 2.3338,                 1.5932,                0.00934,                0.00934,                0.00934
                     11,                 1.2663,                 1.7799,                 1.5681,                0.67565,                0.56368,                0.59611,                0.36116,                 1.1305,                 2.0082,                 1.5813,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2656,                 1.7477,                 1.5665,                0.69871,                0.57526,                0.66037,                 0.4078,                 1.0884,                 1.5391,                 1.5441,               0.009175,               0.009175,               0.009175
                     13,                  1.252,                 1.7074,                  1.547,                0.74392,                0.60305,                0.68416,                0.44271,                 1.0053,                 1.6858,                 1.4518,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.2402,                 1.6499,                 1.5339,                0.71465,                0.64051,                0.71592,                0.45704,                 1.0575,                 1.6635,                 1.5003,                0.00901,                0.00901,                0.00901
                     15,                 1.2221,                 1.5867,                 1.5175,                0.72928,                0.63648,                0.69606,                0.45262,                 1.0266,                 1.7694,                 1.4636,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.2031,                 1.5312,                 1.5006,                0.64192,                0.62991,                 0.6774,                0.43405,                 1.0658,                 1.7549,                 1.5049,               0.008845,               0.008845,               0.008845
                     17,                  1.191,                  1.508,                 1.4939,                0.74135,                0.65551,                0.73154,                0.48007,                 1.0395,                 1.3021,                 1.4649,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1867,                  1.472,                 1.4812,                0.69926,                 0.6998,                0.75564,                0.50448,                0.97494,                 1.4479,                 1.4113,                0.00868,                0.00868,                0.00868
                     19,                 1.1789,                 1.4573,                 1.4831,                0.72012,                0.71958,                0.75719,                0.50986,                0.95759,                 1.2879,                 1.3882,              0.0085975,              0.0085975,              0.0085975
                     20,                  1.153,                 1.3997,                 1.4678,                0.68464,                0.72702,                0.75934,                0.50854,                 0.9803,                 1.1343,                 1.4078,               0.008515,               0.008515,               0.008515
                     21,                  1.155,                 1.3827,                 1.4642,                0.71393,                0.74008,                 0.7798,                0.51703,                0.95928,                 1.4866,                 1.3934,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1414,                 1.3511,                 1.4524,                0.74412,                0.76077,                0.80385,                0.54324,                0.94849,                 1.2346,                 1.3704,                0.00835,                0.00835,                0.00835
                     23,                 1.1371,                 1.3411,                 1.4431,                0.73822,                 0.7387,                0.78148,                0.52204,                0.94207,                 1.2877,                 1.3622,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.1129,                 1.2904,                 1.4231,                0.80541,                0.73665,                0.81801,                0.55777,                 0.9456,                 1.1608,                 1.3639,               0.008185,               0.008185,               0.008185
                     25,                  1.112,                 1.2824,                 1.4283,                0.75993,                0.75219,                0.80477,                0.54175,                0.97485,                 1.1999,                 1.4094,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1054,                  1.253,                  1.419,                0.74682,                0.77949,                 0.8162,                0.55705,                 0.9364,                 1.1517,                 1.3455,                0.00802,                0.00802,                0.00802
                     27,                 1.0956,                 1.2359,                 1.4074,                0.79875,                 0.7403,                0.81903,                0.56289,                0.93294,                 1.1384,                 1.3601,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.0846,                 1.2224,                  1.407,                0.77797,                 0.7618,                0.80547,                0.55189,                0.90945,                 1.1188,                 1.3294,               0.007855,               0.007855,               0.007855
                     29,                 1.0891,                 1.2132,                 1.4146,                0.72276,                0.77532,                0.81483,                0.56551,                0.92277,                0.92265,                 1.3464,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0808,                 1.1783,                 1.4047,                0.77929,                0.78927,                0.84306,                0.59085,                0.89083,                0.97993,                 1.3106,                0.00769,                0.00769,                0.00769
                     31,                 1.0692,                 1.1661,                 1.3924,                 0.7307,                0.82401,                0.84283,                0.59599,                0.87332,                0.98294,                 1.2946,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.0546,                 1.1471,                 1.3751,                0.84061,                0.78574,                0.87279,                0.61081,                0.89756,                0.97574,                 1.3245,               0.007525,               0.007525,               0.007525
