epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.822,1.20459,2.96874,1.55389,0.55422,0.50068,0.53329,0.347,0.97898,1.86607,1.41856,0.00332975,0.00332975,0.00332975
2,242.076,1.22028,1.8407,1.55231,0.65692,0.50812,0.56582,0.35139,1.07669,1.92519,1.53949,0.00661911,0.00661911,0.00661911
3,364.518,1.36093,2.03532,1.64816,0.33093,0.33965,0.28206,0.14886,1.41261,3.82714,1.87171,0.00986447,0.00986447,0.00986447
4,487.73,1.47457,2.24283,1.73476,0.45945,0.45839,0.42534,0.23603,1.33524,3.37749,1.86107,0.009802,0.009802,0.009802
5,612.056,1.41875,2.1008,1.69016,0.64618,0.51793,0.56439,0.34033,1.18645,2.03105,1.66682,0.009736,0.009736,0.009736
6,735.13,1.36109,1.9195,1.64761,0.59075,0.57801,0.5852,0.36487,1.10257,2.59135,1.56296,0.00967,0.00967,0.00967
7,860.472,1.31356,1.7674,1.59912,0.67999,0.57859,0.63229,0.40652,1.04344,2.01464,1.48946,0.009604,0.009604,0.009604
8,983.315,1.28835,1.68051,1.57654,0.68234,0.60544,0.64038,0.41169,1.05453,1.67289,1.49069,0.009538,0.009538,0.009538
9,1108.61,1.24519,1.60478,1.54918,0.67915,0.65251,0.69873,0.4604,0.99225,1.54648,1.43236,0.009472,0.009472,0.009472
10,1231.79,1.22485,1.51865,1.53121,0.7623,0.65332,0.72237,0.48185,0.95625,1.34087,1.38449,0.009406,0.009406,0.009406
11,1356.08,1.19599,1.47467,1.50996,0.73339,0.66634,0.72918,0.49143,0.97734,1.30115,1.43842,0.00934,0.00934,0.00934
12,1480.21,1.17616,1.39827,1.49138,0.65703,0.68552,0.73461,0.50287,0.92921,1.34118,1.3478,0.009274,0.009274,0.009274
